BioProject	AssemblyAccession	AssemblyName	Organism	SpeciesTaxid	BioSampleAccn	ContigN50	Coverage	Strain	Pathovar	Owner
PRJNA991952	GCF_040194695.1	ASM4019469v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908787	116798	180	WHRI 3875A		University of Exeter
PRJNA991952	GCF_040194675.1	ASM4019467v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908758	128098	177	WHRI 10248		University of Exeter
PRJNA991952	GCF_040194655.1	ASM4019465v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908752	122899	176	WHRI 10227		University of Exeter
PRJNA991952	GCF_040194635.1	ASM4019463v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908785	94426	179	WHRI 2243A		University of Exeter
PRJNA991952	GCF_040194615.1	ASM4019461v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908788	109048	184	WHRI 3892A		University of Exeter
PRJNA991952	GCF_040194595.1	ASM4019459v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908778	162689	176	WHRI 10231C		University of Exeter
PRJNA991952	GCF_040194575.1	ASM4019457v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908782	138618	167	WHRI 10253		University of Exeter
PRJNA991952	GCF_040194555.1	ASM4019455v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908789	119821	157	WHRI 3963		University of Exeter
PRJNA991952	GCF_040194535.1	ASM4019453v1	Xanthomonas campestris pv. armoraciae (g-proteobacteria)	339	SAMN40354514	197217	197	WHRI 8093	armoraciae	University of Exeter
PRJNA991952	GCF_040194515.1	ASM4019451v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908786	124877	182	WHRI 2309A		University of Exeter
PRJNA991952	GCF_040194495.1	ASM4019449v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN40354518	168927	202	WHRI 8482		University of Exeter
PRJNA991952	GCF_040194475.1	ASM4019447v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN40354519	123414	166	WHRI 8835	raphani	University of Exeter
PRJNA991952	GCF_035012945.1	ASM3501294v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318668	135410	221	WHRI 8864		University of Exeter
PRJNA991952	GCF_035012925.1	ASM3501292v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318669	125199	140	WHRI 8865		University of Exeter
PRJNA991952	GCF_035012905.1	ASM3501290v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318667	97809	103	WHRI 8951		University of Exeter
PRJNA991952	GCF_035012885.1	ASM3501288v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318666	126513	140	WHRI 3965		University of Exeter
PRJNA991952	GCF_035012865.1	ASM3501286v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318659	117731	326	WHRI 6503		University of Exeter
PRJNA991952	GCF_035012845.1	ASM3501284v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318657	92043	319	WHRI 8918A		University of Exeter
PRJNA991952	GCF_035012825.1	ASM3501282v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318658	114699	375	WHRI 6495		University of Exeter
PRJNA991952	GCF_035012765.1	ASM3501276v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318664	114210	357	WHRI 6508		University of Exeter
PRJNA991952	GCF_035011085.1	ASM3501108v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318661	111109	227	WHRI 6505		University of Exeter
PRJNA991952	GCF_035011065.1	ASM3501106v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318663	106968	313	WHRI 6507		University of Exeter
PRJNA991952	GCF_035011045.1	ASM3501104v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318660	94012	39	WHRI 6504		University of Exeter
PRJNA991952	GCF_035011025.1	ASM3501102v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318665	86812	63	WHRI 8306		University of Exeter
PRJNA991733	GCF_035014345.1	ASM3501434v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315914	147609	358	WHRI 6491	raphani	University of Exeter
PRJNA991733	GCF_035014285.1	ASM3501428v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315961	236190	48	WHRI 8885	raphani	University of Exeter
PRJNA991733	GCF_035014265.1	ASM3501426v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315959	160504	86	WHRI 8869	raphani	University of Exeter
PRJNA991733	GCF_035014225.1	ASM3501422v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315934	161146	95	WHRI 8309	raphani	University of Exeter
PRJNA991733	GCF_035014235.1	ASM3501423v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315910	212517	183	WHRI 7979	raphani	University of Exeter
PRJNA991733	GCF_035014205.1	ASM3501420v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315933	134927	113	WHRI 8308	raphani	University of Exeter
PRJNA991733	GCF_035014185.1	ASM3501418v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315932	180383	303	WHRI 8307	raphani	University of Exeter
PRJNA991733	GCF_035014165.1	ASM3501416v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315925	216897	153	WHRI 8803	raphani	University of Exeter
PRJNA991733	GCF_035014145.1	ASM3501414v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315942	278822	82	WHRI 8871	raphani	University of Exeter
PRJNA991733	GCF_035014125.1	ASM3501412v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315944	133162	94	WHRI 8872	raphani	University of Exeter
PRJNA991733	GCF_035014085.1	ASM3501408v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315956	127100	178	WHRI 8883	raphani	University of Exeter
PRJNA991733	GCF_035014055.1	ASM3501405v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315957	622022	183	WHRI 8876	raphani	University of Exeter
PRJNA991733	GCF_035014045.1	ASM3501404v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315966	195873	322	WHRI 8937	raphani	University of Exeter
PRJNA991733	GCF_035014025.1	ASM3501402v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315950	211640	210	WHRI 8866	raphani	University of Exeter
PRJNA991733	GCF_035014005.1	ASM3501400v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315917	176456	385	WHRI 6494	raphani	University of Exeter
PRJNA991733	GCF_035013985.1	ASM3501398v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315962	177677	96	WHRI 8870	raphani	University of Exeter
PRJNA991733	GCF_035013955.1	ASM3501395v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315965	283547	396	WHRI 8936	raphani	University of Exeter
PRJNA991733	GCF_035013945.1	ASM3501394v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315921	264789	298	WHRI 6499	raphani	University of Exeter
PRJNA991733	GCF_035013925.1	ASM3501392v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315964	192204	87	WHRI 8886	raphani	University of Exeter
PRJNA991733	GCF_035013905.1	ASM3501390v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315963	225285	139	WHRI 8878	raphani	University of Exeter
PRJNA991733	GCF_035013885.1	ASM3501388v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315922	104303	370	WHRI 6518	raphani	University of Exeter
PRJNA991733	GCF_035013865.1	ASM3501386v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315968	177999	413	WHRI 8939	raphani	University of Exeter
PRJNA991733	GCF_035013845.1	ASM3501384v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315940	214912	75	WHRI 8861	raphani	University of Exeter
PRJNA991733	GCF_035013825.1	ASM3501382v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315927	164505	216	WHRI 8298	raphani	University of Exeter
PRJNA991733	GCF_035013805.1	ASM3501380v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315969	142845	261	WHRI 8940	raphani	University of Exeter
PRJNA991733	GCA_035013785.1	ASM3501378v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315920	228239	174	WHRI 6498	raphani	University of Exeter
PRJNA991733	GCF_035013765.1	ASM3501376v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315919	104428	266	WHRI 6497	raphani	University of Exeter
PRJNA991733	GCF_035013725.1	ASM3501372v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315923	190120	324	WHRI 6519	raphani	University of Exeter
PRJNA991733	GCF_035013705.1	ASM3501370v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315958	180437	197	WHRI 8884	raphani	University of Exeter
PRJNA991733	GCF_035013145.1	ASM3501314v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315945	196027	81	WHRI 8880	raphani	University of Exeter
PRJNA991733	GCF_035013125.1	ASM3501312v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315941	132249	53	WHRI 8863	raphani	University of Exeter
PRJNA991733	GCF_035012585.1	ASM3501258v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315977	316684	454	WHRI 8948	raphani	University of Exeter
PRJNA991733	GCF_035012565.1	ASM3501256v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315976	345116	264	WHRI 8947	raphani	University of Exeter
PRJNA991733	GCF_035012525.1	ASM3501252v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315943	184406	166	WHRI 8887	raphani	University of Exeter
PRJNA991733	GCF_035012505.1	ASM3501250v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315909	260994	207	WHRI 7974	raphani	University of Exeter
PRJNA991733	GCF_035012485.1	ASM3501248v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315938	179967	48	WHRI 8858	raphani	University of Exeter
PRJNA991733	GCF_035012465.1	ASM3501246v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315960	170665	160	WHRI 8877	raphani	University of Exeter
PRJNA991733	GCF_035012445.1	ASM3501244v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315948	151974	229	WHRI 8881	raphani	University of Exeter
PRJNA991733	GCF_035012425.1	ASM3501242v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315913	159556	296	WHRI 6490	raphani	University of Exeter
PRJNA991733	GCF_035012405.1	ASM3501240v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315952	430714	184	WHRI 8882	raphani	University of Exeter
PRJNA991733	GCF_035012385.1	ASM3501238v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315971	177861	432	WHRI 8942	raphani	University of Exeter
PRJNA991733	GCF_035012365.1	ASM3501236v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315939	180725	59	WHRI 8860	raphani	University of Exeter
PRJNA991733	GCF_035012345.1	ASM3501234v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315951	480846	96	WHRI 8874	raphani	University of Exeter
PRJNA991733	GCF_035012325.1	ASM3501232v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315916	178243	310	WHRI 6493	raphani	University of Exeter
PRJNA991733	GCF_035012305.1	ASM3501230v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315935	193934	148	WHRI 8817	raphani	University of Exeter
PRJNA991733	GCF_035012285.1	ASM3501228v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315946	174465	103	WHRI 8888	raphani	University of Exeter
PRJNA991733	GCF_035012265.1	ASM3501226v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315954	150288	164	WHRI 8867	raphani	University of Exeter
PRJNA991733	GCF_035012245.1	ASM3501224v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315947	132558	106	WHRI 8873	raphani	University of Exeter
PRJNA991733	GCF_035012225.1	ASM3501222v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315967	304078	355	WHRI 8938	raphani	University of Exeter
PRJNA991733	GCF_035012205.1	ASM3501220v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315928	197020	255	WHRI 8299	raphani	University of Exeter
PRJNA991733	GCF_035012185.1	ASM3501218v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315915	132961	316	WHRI 6492	raphani	University of Exeter
PRJNA991733	GCF_035012165.1	ASM3501216v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315973	146235	318	WHRI 8944	raphani	University of Exeter
PRJNA991733	GCF_035012145.1	ASM3501214v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315974	366172	338	WHRI 8945	raphani	University of Exeter
PRJNA991733	GCF_035012085.1	ASM3501208v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315908	177041	375	WHRI 10006	raphani	University of Exeter
PRJNA991733	GCF_035012105.1	ASM3501210v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315970	162460	429	WHRI 8941	raphani	University of Exeter
PRJNA991733	GCF_035012045.1	ASM3501204v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315911	164295	150	WHRI 8079	raphani	University of Exeter
PRJNA991733	GCF_035012065.1	ASM3501206v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315912	131121	206	WHRI 6489	raphani	University of Exeter
PRJNA991733	GCF_035012025.1	ASM3501202v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315924	123994	329	WHRI 6520	raphani	University of Exeter
PRJNA991733	GCF_035012005.1	ASM3501200v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315937	161017	174	WHRI 8834	raphani	University of Exeter
PRJNA991733	GCF_035011985.1	ASM3501198v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315918	132093	235	WHRI 6496	raphani	University of Exeter
PRJNA991733	GCF_035011965.1	ASM3501196v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315936	124878	61	WHRI 8818	raphani	University of Exeter
PRJNA991733	GCF_035011945.1	ASM3501194v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315949	220130	209	WHRI 8889	raphani	University of Exeter
PRJNA991733	GCF_035011925.1	ASM3501192v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315955	284593	204	WHRI 8875A	raphani	University of Exeter
PRJNA991733	GCF_035011895.1	ASM3501189v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315953	171348	201	WHRI 8890	raphani	University of Exeter
PRJNA991733	GCF_035011485.1	ASM3501148v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315929	198946	228	WHRI 8303	raphani	University of Exeter
PRJNA991733	GCF_035011455.1	ASM3501145v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315930	104348	184	WHRI 8304	raphani	University of Exeter
PRJNA991733	GCF_035011445.1	ASM3501144v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315972	304078	427	WHRI 8943	raphani	University of Exeter
PRJNA991733	GCF_035011425.1	ASM3501142v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315931	109483	124	WHRI 8305	raphani	University of Exeter
PRJNA991733	GCF_035011405.1	ASM3501140v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN36315975	146298	298	WHRI 8946	raphani	University of Exeter
PRJNA729255	GCF_023278345.1	ASM2327834v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN19116158	5129645	236	GBBC 1073	campestris	Institute for Agricultural and Fisheries Research (ILVO)
PRJNA729255	GCF_023206795.1	ASM2320679v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN19114992	5024642	188	GBBC1458	campestris	Institute for Agricultural and Fisheries Research (ILVO)
PRJNA729255	GCF_021864995.1	ASM2186499v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN19116162	61729	110	GBBC 1415	campestris	Institute for Agricultural and Fisheries Research (ILVO)
PRJNA729255	GCF_021864975.1	ASM2186497v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN19116154	1627032	90	GBBC 820	campestris	Institute for Agricultural and Fisheries Research (ILVO)
PRJNA729255	GCF_021864955.1	ASM2186495v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN19116155	88509	100	GBBC 821	campestris	Institute for Agricultural and Fisheries Research (ILVO)
PRJNA729255	GCF_021864935.1	ASM2186493v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN19116157	145690	244	GBBC 1072	campestris	Institute for Agricultural and Fisheries Research (ILVO)
PRJNA729255	GCF_021864915.1	ASM2186491v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN19116156	133596	120	GBBC 1071	campestris	Institute for Agricultural and Fisheries Research (ILVO)
PRJNA729255	GCF_021864895.1	ASM2186489v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN19116159	4165201	110	GBBC 1372	campestris	Institute for Agricultural and Fisheries Research (ILVO)
PRJNA729255	GCF_021864875.1	ASM2186487v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN19116160	3783154	96	GBBC 1412	campestris	Institute for Agricultural and Fisheries Research (ILVO)
PRJNA729255	GCF_021864855.1	ASM2186485v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN19116163	1293487	120	GBBC 1419	campestris	Institute for Agricultural and Fisheries Research (ILVO)
PRJNA729255	GCF_021864835.1	ASM2186483v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN19116161	149839	128	GBBC 1414	campestris	Institute for Agricultural and Fisheries Research (ILVO)
PRJNA729255	GCF_021864815.1	ASM2186481v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN19116164	3196745	146	GBBC 1429	campestris	Institute for Agricultural and Fisheries Research (ILVO)
PRJNA729255	GCF_021864795.1	ASM2186479v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN19116167	4919272	166	GBBC1468	raphani	Institute for Agricultural and Fisheries Research (ILVO)
PRJNA729255	GCF_021864775.1	ASM2186477v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN19116165	41013	156	GBBC 1431	campestris	Institute for Agricultural and Fisheries Research (ILVO)
PRJNA729255	GCF_021864745.1	ASM2186474v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN19116166	59513	112	GBBC 1456	campestris	Institute for Agricultural and Fisheries Research (ILVO)
PRJNA729255	GCF_021864735.1	ASM2186473v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN19116168	70388	132	GBBC 1469		Institute for Agricultural and Fisheries Research (ILVO)
PRJNA729255	GCF_021864715.1	ASM2186471v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN19116169	49832	296	GBBC 3216	campestris	Institute for Agricultural and Fisheries Research (ILVO)
PRJNA729255	GCF_021864695.1	ASM2186469v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN19116173	4590949	72	GBBC 3229	campestris	Institute for Agricultural and Fisheries Research (ILVO)
PRJNA729255	GCF_021864655.1	ASM2186465v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN19116172	71199	86	GBBC 3226	campestris	Institute for Agricultural and Fisheries Research (ILVO)
PRJNA729255	GCF_021864665.1	ASM2186466v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN19116170	26870	102	GBBC 3217	campestris	Institute for Agricultural and Fisheries Research (ILVO)
PRJNA729255	GCF_021864635.1	ASM2186463v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN19116171	71904	122	GBBC 3220	campestris	Institute for Agricultural and Fisheries Research (ILVO)
PRJNA729255	GCF_021864585.1	ASM2186458v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN19116176	5028427	146	XCC2144	campestris	Institute for Agricultural and Fisheries Research (ILVO)
PRJNA729255	GCF_021864555.1	ASM2186455v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN19116175	82292	142	K13014	campestris	Institute for Agricultural and Fisheries Research (ILVO)
PRJNA729255	GCF_021864545.1	ASM2186454v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN19116174	3217113	90	GBBC 3236	campestris	Institute for Agricultural and Fisheries Research (ILVO)
PRJNA689092	GCF_045504475.1	ASM4550447v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198935	4985333	252	0474	campestris	Cornell University
PRJNA689092	GCF_028751505.1	ASM2875150v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198897	5002040	952	54-2	campestris	Cornell University
PRJNA689092	GCF_028751465.1	ASM2875146v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198898	5051489	751	54-3	campestris	Cornell University
PRJNA689092	GCF_028751435.1	ASM2875143v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198899	5020213	647	30-1	campestris	Cornell University
PRJNA689092	GCF_028751395.1	ASM2875139v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198901	4929060	513	40-2	campestris	Cornell University
PRJNA689092	GCF_028751375.1	ASM2875137v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198900	5042530	779	39-3	campestris	Cornell University
PRJNA689092	GCF_028751355.1	ASM2875135v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198902	4944847	676	29-5	campestris	Cornell University
PRJNA689092	GCF_028751335.1	ASM2875133v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198903	4942176	558	29-6	campestris	Cornell University
PRJNA689092	GCF_028751315.1	ASM2875131v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198904	4975238	702	33-1	campestris	Cornell University
PRJNA689092	GCF_028751295.1	ASM2875129v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198905	5024641	662	33-2	campestris	Cornell University
PRJNA689092	GCF_028751275.1	ASM2875127v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198906	5024595	694	33-4	campestris	Cornell University
PRJNA689092	GCF_028751255.1	ASM2875125v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198907	5024665	662	33-5	campestris	Cornell University
PRJNA689092	GCF_028751235.1	ASM2875123v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198908	5020217	604	42-3	campestris	Cornell University
PRJNA689092	GCF_028751215.1	ASM2875121v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198909	5029743	662	66-2	campestris	Cornell University
PRJNA689092	GCF_028750655.1	ASM2875065v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198910	4982561	828	42-1	campestris	Cornell University
PRJNA689092	GCF_028750635.1	ASM2875063v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198912	4982573	624	42-4	campestris	Cornell University
PRJNA689092	GCF_028750615.1	ASM2875061v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198911	4982582	527	42-2	campestris	Cornell University
PRJNA689092	GCF_028750595.1	ASM2875059v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198913	4940857	596	15-1	campestris	Cornell University
PRJNA689092	GCF_028750575.1	ASM2875057v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198914	4939451	597	25-4	campestris	Cornell University
PRJNA689092	GCF_028750555.1	ASM2875055v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198916	4940927	600	27-6	campestris	Cornell University
PRJNA689092	GCF_028750535.1	ASM2875053v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198917	4940640	576	27-9	campestris	Cornell University
PRJNA689092	GCF_028750515.1	ASM2875051v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198915	4939448	535	27-10	campestris	Cornell University
PRJNA689092	GCF_028750455.1	ASM2875045v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198920	5051483	857	55-2	campestris	Cornell University
PRJNA689092	GCF_028750435.1	ASM2875043v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198919	5051497	788	55-1	campestris	Cornell University
PRJNA689092	GCF_028750415.1	ASM2875041v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198918	4940916	561	28-1	campestris	Cornell University
PRJNA689092	GCF_028750395.1	ASM2875039v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198922	5033634	429	10006	campestris	Cornell University
PRJNA689092	GCF_028750375.1	ASM2875037v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198924	5095350	432	11085	campestris	Cornell University
PRJNA689092	GCF_028750355.1	ASM2875035v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198923	5033626	959	10008	campestris	Cornell University
PRJNA689092	GCF_028750335.1	ASM2875033v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN17198925	4993951	398	10-16		Cornell University
PRJNA689092	GCF_028750275.1	ASM2875027v1	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN17198926	5043528	504	16-8	incanae	Cornell University
PRJNA689092	GCF_028750155.1	ASM2875015v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198927	5024247	323	08305	campestris	Cornell University
PRJNA689092	GCF_028750135.1	ASM2875013v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN17198928	4975753	223	3054		Cornell University
PRJNA689092	GCF_028750115.1	ASM2875011v1	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN17198929	5065922	338	5057	incanae	Cornell University
PRJNA689092	GCF_028750095.1	ASM2875009v1	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN17198930	4975414	202	4053	incanae	Cornell University
PRJNA689092	GCF_028750075.1	ASM2875007v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN17198931	5177110	400	11-19		Cornell University
PRJNA689092	GCF_028750055.1	ASM2875005v1	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN17198932	5015781	330	8-14	incanae	Cornell University
PRJNA689092	GCF_028750035.1	ASM2875003v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198933	5106871	304	08288	campestris	Cornell University
PRJNA689092	GCF_028750015.1	ASM2875001v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198934	5085233	176	10103	campestris	Cornell University
PRJNA689092	GCF_028749945.1	ASM2874994v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198937	5134330	342	0793	campestris	Cornell University
PRJNA689092	GCF_028749925.1	ASM2874992v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198936	5134501	321	0659	campestris	Cornell University
PRJNA689092	GCF_028749905.1	ASM2874990v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198939	5012081	233	08284	campestris	Cornell University
